Tiempo desde erupcion (d);Magnitud
350,5;5
350,6;4,9
350,6;4,4
350,6;5,1
350,6;4,9
350,66;5,5
350,66;5,2
350,7;5,2
350,7;4,8
350,7;5,8
350,7;5,7
350,75;5
350,76;5
350,8;4,8
350,82;5
351;5,1
351,31;5,7
351,42;5
351,43;5,7
351,48;5,1
351,48;5,6
351,5;5,6
351,58;5,2
351,59;4,9
351,59;5,1
351,6;5,5
351,6;5,5
351,6;5,2
351,6;5
351,6;5,1
351,61;5
351,62;5,3
351,66;5,2
351,66;5,2
351,67;4,8
351,7;5,3
351,7;5
351,7;6
351,7;5,2
351,7;5,9
351,78;5,2
352,38;5,6
352,42;5,7
352,43;5,6
352,45;5,1
352,49;5,6
352,57;4,9
352,6;5,2
352,6;5,6
352,7;5,4
352,7;6
352,7;5,4
352,79;5,3
352,8;5,4
353,04;5,4
353,05;5,4
353,06;5,4
353,31;5,8
353,43;5,7
353,44;5,6
353,7;5,1
353,7;6,1
353,7;5,7
353,71;5,5
353,72;5,2
353,8;5,5
354,2;5,2
354,22;5
354,3;6,1
354,35;6,1
354,4;6,1
354,43;6,1
354,46;5,9
354,58;5,3
354,6;5,5
354,6;5,8
354,6;5,6
354,6;5,2
354,6;5,3
354,62;5,4
354,64;5,2
354,64;5,5
354,66;5,7
354,7;5,4
354,7;5,6
354,7;5,5
354,7;4,9
354,7;6
354,7;6,2
354,7;5,7
354,73;5,4
354,73;5,5
354,8;5,8
355,45;6,1
355,5;6
355,58;5,6
355,59;5,2
355,59;5,6
355,6;5,6
355,6;5,5
355,6;5,8
355,6;5,3
355,6;5,3
355,6;5,7
355,6;5,6
355,6;5,4
355,62;5,5
355,62;5,8
355,63;5,5
355,63;5,2
355,7;5,6
355,7;5,6
355,75;5,4
355,76;5,6
355,81;5,6
356,46;5,7
356,5;5,9
356,58;5,3
356,58;5,5
356,59;5,6
356,6;5,7
356,6;5,6
356,6;6,3
356,6;5,5
356,6;6
356,6;6
356,6;5,5
356,6;5,7
356,6;5,6
356,6;5,6
356,61;5,5
356,61;5,9
356,62;5,5
356,62;5,3
356,63;5,8
356,65;5,8
356,67;5,9
356,7;5,7
356,7;5,3
356,7;6,2
356,7;5,5
356,7;6
356,7;5,8
356,72;5,5
356,73;5,9
356,8;5,5
356,8;5,8
356,8;5,8
357,1;5,7
357,1;5,6
357,3;5,7
357,3;6,1
357,4;5,8
357,43;6
357,48;5,9
357,49;6
357,59;6
357,59;5,7
357,6;6
357,6;6
357,6;6
357,6;5,9
357,6;5,5
357,6;5,3
357,61;5,5
357,62;5,9
357,63;5,7
357,63;5,9
357,64;5,6
357,68;5,7
357,7;5,5
357,7;5,7
357,7;6,2
357,7;6,4
357,7;6
357,7;6
357,72;5,5
357,75;6,1
357,76;6
357,9;5,5
358;5,8
358,04;5,7
358,3;5,9
358,3;5,8
358,38;6,1
358,4;5,9
358,43;6,1
358,47;5,8
358,48;6,2
358,5;6
358,52;6
358,58;5,8
358,6;5,8
358,6;5,7
358,6;6
358,6;6
358,6;5,8
358,6;6,5
358,6;5,8
358,6;5,9
358,6;5,3
358,6;5,4
358,6;5,5
358,6;6
358,61;5,6
358,64;6,1
358,66;6,1
358,66;5,6
358,66;5,8
358,7;5,5
358,7;6,4
358,7;6,6
358,7;5,8
358,71;6
358,75;6,1
358,8;5,5
358,8;5,8
359,3;6,2
359,39;6,3
359,39;6,1
359,45;6,7
359,5;6,3
359,59;5,6
359,6;6,1
359,6;6
359,6;6
359,6;6
359,6;6,1
359,62;5,4
359,63;5,7
359,65;6
359,65;5,6
359,7;6,1
359,7;6,7
359,7;6
359,73;6
359,75;5,6
359,76;6,1
359,8;5,6
359,98;6
360;6
360;5,8
360,01;5,8
360,01;6,1
360,02;6
360,06;6,25
360,06;6,1
360,08;6,35
360,08;6,36
360,09;5,9
360,2;5,8
360,29;6,2
360,3;6,3
360,4;6,1
360,43;6,3
360,49;6,2
360,5;6,1
360,5;6,4
360,57;5,6
360,6;6,1
360,6;6
360,6;6
360,6;5,6
360,61;5,9
360,62;6,3
360,63;6,1
360,63;5,5
360,66;5,6
360,7;5,8
360,7;5,6
360,7;6,2
360,7;5,6
360,7;6,8
360,7;6,2
360,7;6,2
360,75;5,9
360,8;6,2
360,8;5,9
360,9;5,7
361;6,1
361;6,3
361,06;6,1
361,07;6,1
361,1;6,4
361,31;6,4
361,43;6,4
361,68;5,8
361,7;6,5
361,7;6,3
361,7;6,2
361,7;6,8
361,71;6,3
361,8;6,3
362;5,9
362,2;5,8
362,36;6,1
362,4;6,3
362,48;6,3
362,7;6,5
362,7;6,3
362,7;6,2
362,7;6,8
362,75;6
362,8;5,8
362,88;6,3
362,99;6,3
363,01;6,2
363,04;6,2
363,08;6,2
363,08;6
363,1;5,9
363,1;6,2
363,12;6
363,13;6,1
363,3;6,3
363,31;6,1
363,4;6,1
363,42;6,5
363,42;6,3
363,5;6,3
363,5;6,5
363,51;6,6
363,7;6,3
363,7;6,2
363,7;6,8
363,74;6,3
363,78;5,9
364;6
364,04;6
364,3;6,3
364,35;6,1
364,42;7
364,43;6,3
364,44;6,1
364,5;6,4
364,57;6,1
364,59;6,1
364,6;6,4
364,6;5,4
364,61;6,9
364,61;6,3
364,62;6,2
364,63;5,5
364,7;6,2
364,7;6,6
364,7;6
364,7;6,1
364,7;6,2
364,72;5,9
364,78;6,3
364,8;6,7
364,8;6,2
365;6
365,05;6,3
365,08;6
365,09;6,3
365,11;6,3
365,29;6,1
365,3;6,4
365,37;6,1
365,43;7
365,49;6,5
365,5;6,5
