Tiempo desde erupcion (d);Magnitud
0,01943;7,638
0,11372;7,455
0,11505;7,411
0,15021;7,349
0,16821;7,321
0,16954;7,287
0,25273;7,155
0,86835;7,117
1,389052;7,427
1,42014;6,777
1,524035;7,416
1,52444;7,37
1,524856;7,538
1,529312;7,475
1,529718;7,445
1,530123;7,478
1,531338;7,418
1,532137;7,49
1,534544;7,413
1,534937;7,378
1,535343;7,488
1,535736;7,369
1,536141;7,382
1,537345;7,445
1,53775;7,446
1,538155;7,381
1,53856;7,384
1,538965;7,38
1,53937;7,407
1,539787;7,371
1,540192;7,385
1,540597;7,373
1,541002;7,407
1,541407;7,379
1,541812;7,43
1,542218;7,421
1,542623;7,4
1,543039;7,399
1,543444;7,264
1,543849;7,403
1,544255;7,362
1,544671;7,334
1,545076;7,347
1,545875;7,368
1,54628;7,393
1,546697;7,459
1,547102;7,43
1,54753;7,411
1,548531;7,374
1,548925;7,361
1,54933;7,343
1,549723;7,366
1,550094;7,37
1,550499;7,351
1,550904;7,359
1,551309;7,37
1,551714;7,384
1,552119;7,394
1,552524;7,356
1,552929;7,325
1,553323;7,318
1,553728;7,381
1,554133;7,351
1,55455;7,389
1,554943;7,406
1,555337;7,343
1,555742;7,354
1,556147;7,336
1,556564;7,343
1,556957;7,38
1,557362;7,36
1,557767;7,38
1,558172;7,369
1,558566;7,378
1,558959;7,382
1,559365;7,373
1,55977;7,359
1,560186;7,357
1,56058;7,368
1,560973;7,336
1,561378;7,395
1,561784;7,361
1,5622;7,341
1,562594;7,356
1,56301;7,414
1,563404;7,369
1,563797;7,43
1,564203;7,426
1,564596;7,381
1,565013;7,354
1,565406;7,354
1,5658;7,386
1,566205;7,437
1,566598;7,435
1,567015;7,424
1,567409;7,43
1,567802;7,428
1,568207;7,363
1,568624;7,382
1,569006;7,367
1,569411;7,373
1,569804;7,401
1,570198;7,377
1,570591;7,375
1,570996;7,413
1,571413;7,375
1,571807;7,357
1,5722;7,354
1,572605;7,365
1,57301;7,359
1,573415;7,42
1,573809;7,453
1,574203;7,46
1,574608;7,47
1,575001;7,363
1,575395;7,338
1,5758;7,362
1,576193;7,386
1,576575;7,35
1,57698;7,396
1,577362;7,393
1,577767;7,474
1,578161;7,394
1,598907;7,368
1,599301;7,366
1,599671;7,389
1,600065;7,398
1,600435;7,4
1,600806;7,362
1,601187;7,343
1,601546;7,38
1,601917;7,368
1,602275;7,391
1,602646;7,365
1,603016;7,376
1,603375;7,355
1,603745;7,4
1,604104;7,38
1,604486;7,391
1,604856;7,391
1,605238;7,381
1,605609;7,366
1,605991;7,37
1,606349;7,389
1,606731;7,37
1,607113;7,38
1,607484;7,388
1,607866;7,393
1,608236;7,404
1,608618;7,379
1,608977;7,395
1,609347;7,377
1,609706;7,382
1,610088;7,392
1,610458;7,376
1,610829;7,386
1,611187;7,401
1,611569;7,412
1,611951;7,379
1,612333;7,394
1,612704;7,384
1,613086;7,315
1,613456;7,375
1,613826;7,408
1,614197;7,37
1,614579;7,366
1,614949;7,386
1,615331;7,412
1,615701;7,416
1,616072;7,386
1,616442;7,411
1,616812;7,404
1,617183;7,398
1,617553;7,38
1,617924;7,414
1,618294;7,392
1,618664;7,404
1,619035;7,419
1,619405;7,396
1,619764;7,412
1,620146;7,399
1,620516;7,414
1,620887;7,412
1,621245;7,404
1,621627;7,397
1,621998;7,317
1,62238;7,359
1,622738;7,407
1,623097;7,402
1,623479;7,446
1,623838;7,403
1,624208;7,414
