Tiempo desde erupcion (d);Magnitud
995,86473;11,11
995,86659;11,103
995,86708;11,113
996,90293;12,06
997,022546;11,884
997,026605;11,879
997,844;12,052
997,878229;12,847
997,878611;12,853
997,88258;13,02
997,95182;12,715
997,95718;12,763
998,32448;13,054
998,32691;13,117
998,8438;12,08
998,85;12,415
998,85028;12,508
998,87792;13,567
998,878287;13,317
998,878681;13,334
998,92427;13,322
998,93329;13,309
998,938;13,292
998,94272;13,305
999,32222;13,491
999,3255;13,517
999,861;12,975
999,86366;13,914
999,869221;13,725
999,878947;13,696
999,87934;13,702
999,95759;13,681
999,96813;13,681
999,97864;13,686
1000,31844;14,137
1000,32311;14,304
1000,833;13,643
1000,83348;13,572
1000,86391;14,522
1000,879676;14,305
1000,880058;14,324
1001,3161;14,567
1001,32163;14,876
1001,879641;14,548
1001,880023;14,624
1001,88994;14,839
1002,8472;12,46
1002,87913;15,003
1002,880394;14,73
1002,880787;14,648
1003,31088;14,964
1003,7257;14,965
1003,869;14,521
1003,86924;14,602
1003,881076;15,059
1003,881458;15,034
1004,30799;15,249
1004,881053;15,056
1004,881435;15,065
1005,881771;14,941
1005,882164;14,963
1006,24961;15,037
1006,87179;14,879
1006,872;14,79
1006,882477;15,26
1006,882859;15,275
1006,94145;14,917
1006,9521;14,846
1006,96282;14,915
1006,97353;14,906
1007,716775;15,188
1007,882523;15,024
1007,882917;15,074
1008,25737;14,948
1008,819;15,17
1008,82314;14,953
1008,883102;15,19
1008,883495;15,118
1009,883113;15,421
1009,883495;15,388
1010,24373;15,384
1010,847;15,046
1010,85094;14,819
1010,883854;14,931
1010,884248;15,105
1012,23675;15,415
1012,8646;15,36
1012,86509;15,205
1012,88456;15,306
1012,884942;15,262
1013,23212;15,477
1013,885185;15,117
1013,885567;15,167
1014,88515;15,327
1014,885544;15,309
1015,875;15,273
1015,87525;15,09
1015,885914;15,647
1015,886308;15,287
1016,885914;14,868
1016,886296;15,035
1017,86486;15,003
1017,865;15,405
1017,886632;15,293
1017,887014;15,652
1019,22818;15,33
1019,8648;14,842
1019,865;15,11
1020,22815;15,492
1022,22804;15,435
1022,8509;15,159
1022,851;15,521
1022,888009;15,38
1022,888403;15,372
1023,23138;15,608
1023,887975;15,648
1023,888356;15,522
1024,2252;15,769
1028,816;15,269
1028,816;15,22
1028,81617;15,065
1028,889375;15,439
1028,889769;15,537
1029,890116;15,515
1029,890498;15,726
1030,795;15,404
1030,79539;15,089
1031,887326;15,695
1031,887708;15,703
1032,83;15,741
1032,83006;15,422
1032,887986;15,593
1032,88838;15,597
1033,88485;15,527
1033,885243;15,51
1034,885579;15,723
1034,885961;15,768
1035,86488;15,352
1035,865;15,674
1035,885359;15,83
1035,885752;15,736
1036,15987;15,706
1036,885394;15,649
1036,885787;15,639
1037,20091;15,822
1037,21399;15,547
1037,87209;15,415
1038,1414;16,256
1038,21828;15,353
1039,23252;15,611
1039,24648;15,586
1039,26041;15,601
1041,72779;16,091
1041,74228;16,148
1041,75493;16,196
1041,86828;15,307
1042,12788;16,006
1043,29462;15,81
1043,88574;15,44
1044,12758;16,236
1046,13225;16,137
1048,12788;15,947
1049,12795;16,22
1051,12465;15,862
1052,12416;16,148
1054,86485;15,322
1056,07321;7,117
1056,12083;16,122
1058,09999;16,115
