Tiempo desde erupcion (d);Magnitud;;;;;;;;;;;;
3871,6;5,3;;;;;;;;;;;;
3871,674;5,5;;;;;;;;;;;;
3871,96;5,3;;;;;;;;;;;;
3872,7;5,8;;;;;;;;;;;;
3872,8056;5,0;;;;;;;;;;;;
3873,5;5,1;;;;;;;;;;;;
3873,7917;5,1;;;;;;;;;;;;
3874,2;5,4;;;;;;;;;;;;
3874,3;5,2;;;;;;;;;;;;
3874,5;5,0;;;;;;;;;;;;
3874,5;5,3;;;;;;;;;;;;
3874,6;5,1;;;;;;;;;;;;
3874,6875;5,1;;;;;;;;;;;;
3874,7;5,1;;;;;;;;;;;;
3875,5;5,0;;;;;;;;;;;;
3875,6;5,0;;;;;;;;;;;;
3875,6;5,1;;;;;;;;;;;;
3875,6;5,4;;;;;;;;;;;;
3875,6;5,0;;;;;;;;;;;;
3875,6;5,0;;;;;;;;;;;;
3875,6806;5,1;;;;;;;;;;;;
3875,95;5,4;;;;;;;;;;;;
3876,6;5,1;;;;;;;;;;;;
3876,92;5,4;;;;;;;;;;;;
3877,6;5,0;;;;;;;;;;;;
3877,6;5,1;;;;;;;;;;;;
3877,7;5,9;;;;;;;;;;;;
3878,3;4,8;;;;;;;;;;;;
3878,6;5,0;;;;;;;;;;;;
3878,684;5,0;;;;;;;;;;;;
3878,92;5,4;;;;;;;;;;;;
3880,6771;5,2;;;;;;;;;;;;
3880,681;5,3;;;;;;;;;;;;
3881,3;5,5;;;;;;;;;;;;
3881,6;5,5;;;;;;;;;;;;
3881,7;5,1;;;;;;;;;;;;
3882,632;5,3;;;;;;;;;;;;
3884;5,4;;;;;;;;;;;;
3883,625;5,3;;;;;;;;;;;;
3884,618;5,3;;;;;;;;;;;;
3885,6;5,5;;;;;;;;;;;;
3886,3;5,6;;;;;;;;;;;;
3886,6;5,3;;;;;;;;;;;;
3887,91;5,4;;;;;;;;;;;;
3888,2;5,1;;;;;;;;;;;;
3888,5;5,1;;;;;;;;;;;;
3888,5;5,2;;;;;;;;;;;;
3888,6;5,3;;;;;;;;;;;;
3888,6;5,7;;;;;;;;;;;;
3888,632;5,4;;;;;;;;;;;;
3889,5;5,1;;;;;;;;;;;;
3889,5;5,3;;;;;;;;;;;;
3889,6;5,6;;;;;;;;;;;;
3889,6;5,2;;;;;;;;;;;;
3889,6;5,0;;;;;;;;;;;;
3889,6;5,4;;;;;;;;;;;;
3889,646;5,2;;;;;;;;;;;;
3889,93;5,4;;;;;;;;;;;;
3890,3;5,4;;;;;;;;;;;;
3890,5;5,1;;;;;;;;;;;;
3890,5;5,3;;;;;;;;;;;;
3891,3;5,3;;;;;;;;;;;;
3891,6;5,1;;;;;;;;;;;;
3892,4;5,3;;;;;;;;;;;;
3893,5;5,8;;;;;;;;;;;;
3893,7;5,5;;;;;;;;;;;;
3894,2;5,2;;;;;;;;;;;;
3894,6;5,0;;;;;;;;;;;;
3895,3;5,4;;;;;;;;;;;;
3895,6;5,4;;;;;;;;;;;;
3895,6;5,8;;;;;;;;;;;;
3895,6;5,5;;;;;;;;;;;;
3896,3;5,3;;;;;;;;;;;;
3896,6;5,7;;;;;;;;;;;;
3897,3;5,4;;;;;;;;;;;;
3897,5;5,6;;;;;;;;;;;;
3897,6;5,2;;;;;;;;;;;;
3897,7083;5,4;;;;;;;;;;;;
3898,5;5,3;;;;;;;;;;;;
3898,6;5,3;;;;;;;;;;;;
3899,3;5,5;;;;;;;;;;;;
3899,5;5,6;;;;;;;;;;;;
3899,7083;5,4;;;;;;;;;;;;
3900,6;5,3;;;;;;;;;;;;
3901,6;5,4;;;;;;;;;;;;
3903,5;5,0;;;;;;;;;;;;
3903,6;5,4;;;;;;;;;;;;
3903,6;5,5;;;;;;;;;;;;
3903,6458;5,5;;;;;;;;;;;;
3903,7;5,5;;;;;;;;;;;;
3904,5;5,4;;;;;;;;;;;;
3904,5;5,8;;;;;;;;;;;;
3904,6;5,4;;;;;;;;;;;;
3905,2;5,3;;;;;;;;;;;;
3907,3;5,5;;;;;;;;;;;;
3908,5;5,4;;;;;;;;;;;;
