astro,flujo,magnitud
Sirio (α Canis Majoris),3.84,-1.46
Canopus (α Carinae),1.98,-0.74
Arturo (α Boötis),1.05,-0.05
Vega (α Lyrae),0.973,0.03
Capella (α Aurigae),0.929,0.08
Rigel (β Orionis),0.887,0.13
Procyon (α Canis Minoris),0.705,0.38
Achernar (α Eridani),0.655,0.46
Betelgeuse (α Orionis),0.586,0.58
Hadar (α Centauri),0.57,0.61
Altair (α Aquilae),0.492,0.77
Aldebarán (α Tauri),0.457,0.85
Spica (α Virginis),0.406,0.98
Pollux (β Geminorum),0.35,1.14
Fomalhaut (α Piscis Austrini),0.344,1.16
Miaplacidus (β Carinae),0.325,1.22
Deneb (α Cygni),0.316,1.25
Regulus (α Leonis),0.288,1.35
Castor (α Geminorum),0.233,1.58
Shaula (λ Scorpii),0.225,1.62
Bellatrix (γ Orionis),0.221,1.64
Alnitak (ζ Orionis),0.201,1.74
Alioth (ε Ursae Majoris),0.194,1.78
Dubhe (α Ursae Majoris),0.192,1.79
Mirfak (α Persei),0.187,1.82
Kaus Australis (ε Sagittarii),0.18,1.86
Benetnasch (η Ursae Majoris),0.179,1.87
Peacock (α Pavonis),0.172,1.91
Alhena (γ Geminorum),0.169,1.93
Hamal (α Arietis),0.154,2.03
Algol (β Persei),0.142,2.12
Mizar (ζ Ursae Majoris),0.128,2.23
Eltanin (γ Draconis),0.127,2.24
Almach (γ Andromedae),0.122,2.28
Merak (β Ursae Majoris),0.116,2.34
Ankaa (α Phoenicis),0.11,2.4
Scheat (β Pegasi),0.108,2.42
Phecda (γ Ursae Majoris),0.106,2.44
Aludra (η Canis Majoris),0.105,2.45
Markab (α Pegasi),0.101,2.49
Menkar (α Ceti),0.0991,2.51
Sheratan (β Arietis),0.0879,2.64
Tania Australis (μ Ursae Majoris),0.0597,3.06
Megrez (δ Ursae Majoris),0.047,3.32
Tania Borealis (λ Ursae Majoris),0.0421,3.44
Alcor (80 Ursae Majoris),0.0256,3.98
Talitha (ι Ursae Majoris),0.0251,4.0
